KCCDistrict,Town,Village,StreetName,Avg_Reform_Prob,Success_Category,ElectorCount,Latitude,Longitude
ARWest,Ashford,Westwell,Maidstone Road,0.37007222,Moderate,203,51.166757,0.848634
ARWest,Ashford,Pluckley,Malmains Road,0.3449004,Moderate,12,51.165594,0.759511
ARWest,Ashford,Smarden,Maltmans Hill,0.35593823,Moderate,51,51.155794,0.72097
ARWest,Ashford,Charing,Market Place,0.30424988,Moderate,24,51.210531,0.795018
ARWest,Ashford,Singleton,Marmion Way,0.3163454,Moderate,92,51.140364,0.83251
ARWest,Ashford,Chilmington Green,Marsh Rise,0.20684747,Poor,40,51.126605,0.840561
ARWest,Ashford,Chilmington Green,Meadows Grove,0.1669453,Poor,18,51.137866,0.825325
ARWest,Ashford,Singleton,Melcombe Close,0.21452884,Poor,26,51.138072,0.830969
ARWest,Ashford,Great Chart,Middle Close,0.3864171,Moderate,31,51.143001,0.835417
ARWest,Ashford,Challock,Mill Lane,0.2737469,Poor,56,51.222228,0.877613
ARWest,Ashford,Bethersden,Mill Road,0.4390303,Good,33,51.130424,0.759229
ARWest,Ashford,Singleton,Millfield,0.4510423,Good,29,51.142816,0.840782
ARWest,Ashford,Bethersden,Millfields Place,0.31910065,Moderate,34,51.131401,0.759759
ARWest,Ashford,Great Chart,Mock Lane,0.21310852,Poor,3,51.131215,0.821003
ARWest,Ashford,Challock,Monkery Lane,0.21626765,Poor,3,51.216942,0.853221
ARWest,Ashford,Smarden,Monks Hill,0.1990996,Poor,3,51.138031,0.664753
ARWest,Ashford,Charing,Monks Walk,0.31533772,Moderate,13,51.210797,0.793659
ARWest,Ashford,Pluckley,Munday Bois Road,0.25295436,Poor,9,51.175391,0.729493
ARWest,Ashford,Egerton,Mundy Bois Road,0.43072107,Good,31,51.182321,0.720069
ARWest,Ashford,Kennington,Muscovy Road,0.4141553,Good,58,51.173262,0.874274
ARWest,Ashford,Little Chart,Nettlepole Lane,0.1938552,Poor,3,51.18443,0.760939
ARWest,Ashford,Pluckley,New House Lane,0.20752297,Poor,24,51.154707,0.741699
ARWest,Ashford,Egerton,New Road,0.3097433,Moderate,33,51.193465,0.728942
ARWest,Ashford,Egerton,Newland Green Lane,0.17323542,Poor,31,51.180714,0.716041
ARWest,Ashford,Charing,Newlands Road,0.34750953,Moderate,21,51.200022,0.770991
ARWest,Ashford,Great Chart,Ninn Lane,0.4332693,Good,48,51.145664,0.83242
ARWest,Ashford,Bethersden,Norton Lane,0.47707397,Good,15,51.130245,0.75117
ARWest,,Chilmington Green,Oak Bourne Place,0.122956,Poor,8,51.135717,0.824565
ARWest,Ashford,Bethersden,Oaks Green,0.08640305,Poor,7,51.125453,0.758677
ARWest,,Chilmington Green,Oakwood Mews,0.10913213,Poor,16,51.134461,0.821415
ARWest,Ashford,Charing,Old Ashford Road,0.27885893,Poor,10,51.209654,0.794463
ARWest,Ashford,Challock,Old Clockhouse Green,0.28824607,Poor,26,51.221082,0.874448
ARWest,Ashford,Bethersden,Old Surrenden Manor Road,0.26177505,Poor,49,51.130739,0.770998
ARWest,Ashford,Smarden,Omenden Lane,0.19565098,Poor,8,51.136196,0.689508
ARWest,Ashford,Bethersden,Orchard Field,0.29932684,Poor,82,51.1268,0.750823
ARWest,Ashford,Challock,Orchard Lane,0.2674775,Poor,18,51.220609,0.875406
ARWest,Ashford,Chilmington Green,Oxbow Court,0.19196182,Poor,18,51.127133,0.841766
ARWest,Ashford,Great Chart,Padwell Lane,0.31881195,Moderate,9,51.142028,0.831013
ARWest,Ashford,Hothfield,Park Drive,0.42187762,Good,34,51.170189,0.818386
ARWest,Ashford,Bethersden,Park Lane,0.33432338,Moderate,12,51.142662,0.786267
ARWest,Ashford,Kingsnorth,Parkland Crescent,0.22983234,Poor,10,51.127295,0.838045
ARWest,Ashford,Kingsnorth,Parkland Drive,0.42315415,Good,26,51.127989,0.838745
ARWest,Ashford,Singleton,Pearmain Way,0.29402164,Poor,41,51.1391,0.828987
ARWest,Ashford,Challock,Pested Lane,0.32659322,Moderate,35,51.227973,0.877984
ARWest,Ashford,Charing,Pett Lane,0.44729337,Good,64,51.209906,0.799705
ARWest,Ashford,Boughton Aluph,Pilgrims Way,0.4035107,Good,117,51.189797,0.895284
ARWest,Ashford,Bethersden,Pimphurst Lane,0.29474044,Poor,5,51.139537,0.760287
ARWest,,Pluckley,Pivington Lane,0.1893972,Poor,2,51.186154,0.746542
ARWest,Ashford,Hothfield,Plantation Close,0.49883398,Good,29,51.1717,0.81875
ARWest,Ashford,Bethersden,Pluckley Road,0.401282,Good,370,51.133755,0.755227
ARWest,Ashford,Charing,Poppyfields,0.31767803,Moderate,23,51.211219,0.789577
ARWest,Ashford,Bethersden,Pot Kiln Lane,0.2380271,Poor,7,51.124415,0.720895
ARWest,Ashford,,Potters Close,0.6614871,Very Good,15,51.167231,0.850222
ARWest,Ashford,Great Chart,Purchase Lane,0.30160484,Moderate,12,51.138686,0.801726
ARWest,Ashford,Chilmington Green,Ram Crescent,0.3657778,Moderate,8,51.124741,0.825797
ARWest,Ashford,Hothfield,Ram Lane,0.44210917,Good,56,51.184772,0.814097
ARWest,Ashford,Charing,Ravensdane Wood,0.34625885,Moderate,15,51.222813,0.809097
ARWest,Ashford,Singleton,Reedmace Close,0.39620295,Moderate,88,51.139852,0.83694
ARWest,Ashford,Singleton,Ribston Way,0.3291101,Moderate,35,51.137949,0.829346
ARWest,Ashford,Egerton,Rock Hill Road,0.26363322,Poor,116,51.193378,0.726505
ARWest,Ashford,Smarden,Romden Road,0.26720166,Poor,53,51.146814,0.709088
ARWest,Ashford,Little Chart,Rooting Lane,0.19113347,Poor,18,51.171532,0.782185
ARWest,Ashford,Pluckley,Rose Farm Road,0.15314847,Poor,7,51.166852,0.735052
ARWest,Maidstone,Lenham,Rose Lane,0.27940768,Poor,2,51.217406,0.750123
ARWest,Ashford,Smarden,Rose Yard Smarden Business Estate,0.19565098,Poor,2,51.138692,0.668039
ARWest,Ashford,Smarden,Rosemary Lane,0.27660814,Poor,8,51.165857,0.682908
ARWest,Ashford,Charing,Ruglys Way,0.3061189,Moderate,26,51.210374,0.789896
ARWest,Ashford,Pluckley,Rushbrook Road,0.2303504,Poor,6,51.164539,0.756587
ARWest,Ashford,Singleton,Russett Close,0.40920222,Good,24,51.137569,0.829823
ARWest,Ashford,Hothfield,Sackville Close,0.2500312,Poor,27,51.171193,0.819234
ARWest,Ashford,Great Chart,Sandy Lane,0.26676857,Poor,25,51.135499,0.800706
ARWest,Ashford,Boughton Aluph,Sandyhurst Lane,0.5513936,Good,426,51.171794,0.856384
ARWest,Ashford,Charing,Sayer Road,0.23214333,Poor,45,51.213306,0.792551
ARWest,Ashford,Appledore,School Road,0.25961334,Poor,144,51.127113,0.750512
ARWest,Ashford,Smarden,Shenley Road,0.27067196,Poor,16,51.150655,0.655827
ARWest,Ashford,Kennington,Sherwood Close,0.27787173,Poor,42,51.172631,0.882734
ARWest,Ashford,Pluckley,Shipland Corner,0.1938552,Poor,6,51.176979,0.75653
ARWest,Ashford,Singleton,Singleton Hill,0.17498386,Poor,10,51.139079,0.836892
ARWest,Ashford,Great Chart,Singleton Road,0.3943277,Moderate,67,51.14304,0.836377
ARWest,Ashford,Kennington,Siskin Close,0.3910563,Moderate,55,51.173145,0.872464
ARWest,Ashford,Smarden,Smarden Bell Road,0.19937661,Poor,67,51.16515,0.692882
ARWest,Ashford,Bethersden,Smarden Road,0.33136508,Moderate,15,51.130058,0.71181
ARWest,Ashford,Kennington,Snipe Close,0.35174188,Moderate,27,51.172982,0.875802
ARWest,Ashford,Smarden,Snughorne Lane,0.31146652,Moderate,10,51.146563,0.662499
ARWest,Ashford,Charing,Southfield Lane,0.19807535,Poor,5,51.203519,0.750869
ARWest,Ashford,Bethersden,Sparrow Hatch Lane,0.32867253,Moderate,8,51.146866,0.773294
ARWest,Ashford,Singleton,Spartan Road,0.36341524,Moderate,19,51.138841,0.830401
ARWest,Ashford,Challock,Squids Gate Lane,0.1942009,Poor,4,51.214065,0.834269
ARWest,Ashford,Challock,Squids Gate,0.1942009,Poor,4,51.214065,0.834269
ARWest,Ashford,Challock,St Cosmas Close,0.28075975,Poor,22,51.217087,0.8752
ARWest,Ashford,Bethersden,St Margarets Place,0.3215655,Moderate,28,51.129172,0.751623
ARWest,Ashford,Charing,Stalisfield Church Road,0.28076106,Poor,21,51.223744,0.801763
ARWest,Ashford,Charing,Stalisfield Road,0.41453594,Good,37,51.224133,0.820392
ARWest,Ashford,Bethersden,Standard Lane,0.24258004,Poor,22,51.114892,0.744285
ARWest,Ashford,Pluckley,Station Road,0.28912407,Poor,245,51.157621,0.742088
ARWest,Ashford,Egerton,Stevens Close,0.21670075,Poor,30,51.193702,0.729958
ARWest,Ashford,Egerton,Stisted Way,0.36412245,Moderate,14,51.194335,0.727104
ARWest,Ashford,Egerton,Stone Hill Road,0.15973823,Poor,14,51.19001,0.728222
ARWest,Ashford,Charing,Stone Stile Farm Road,0.27676508,Poor,12,51.226764,0.781863
ARWest,Ashford,Egerton,Stonebridge Green Road,0.40199268,Good,48,51.197168,0.73211
ARWest,Ashford,Singleton,Stowell Close,0.3219411,Moderate,48,51.138935,0.831708
ARWest,Ashford,Charing,Surgery Close,0.25478584,Poor,6,51.20971,0.791374
ARWest,Ashford,Pluckley,Surrenden Road,0.3522055,Moderate,31,51.174059,0.771248
ARWest,Ashford,Singleton,Swaffer Way,0.38170505,Moderate,108,51.137731,0.831277
ARWest,Ashford,Little Chart,Swallow Mill Lane,0.1893972,Poor,3,51.186615,0.766291
ARWest,Ashford,Pluckley,Swan Lane,0.2573828,Poor,33,51.176375,0.763061
ARWest,Ashford,Charing,Tatchell Drive,0.31828585,Moderate,26,51.210332,0.790939
ARWest,Ashford,Smarden,The Acorns,0.36515677,Moderate,37,51.150622,0.684812
ARWest,Ashford,Hothfield,The Bogs,0.3083268,Moderate,5,51.174073,0.812084
ARWest,Ashford,Singleton,The Bulrushes,0.41735455,Good,94,51.140642,0.835887
ARWest,Ashford,Smarden,The Cut,0.28210685,Poor,4,51.140515,0.670586
ARWest,Ashford,Bethersden,The Dene,0.29092458,Poor,14,51.12762,0.75646
